anchorage_id,anchorage_name,anchorage_sublabel,lat,lon,total_visits,top_destination,iso3,distance_from_shore_m,dock
8c6caadd,8c6caadd,NA,15.984368147745556,-61.30714533034581,32,,GLP,0,TRUE
8c1ab4a3,A5198200000,NA,17.786684399628854,-64.62891043191487,164,A5198200000,VIR,0,TRUE
8c0e7aeb,AA,NA,18.11683486891389,-62.98927154174027,266,AA,MAF,0,TRUE
8c367575,AD,NA,10.687464361515145,-61.74371096640595,68,AD,TTO,0,TRUE
0c606301,AGUA DE PENA,NA,32.700891449362764,-16.76878544876472,284,C WM,PRT,2000,TRUE
8c387d8b,AID,NA,12.603889970782717,-61.44892632839743,312,AID,VCT,0,TRUE
8c6caaad,AL RUNDFAHR,NA,15.961227194371903,-61.322155162829354,87,AL RUNDFAHR,GLP,0,TRUE
0d0c958b,ALGECIRAS,NA,36.080759659579854,-5.397490985207231,29,ALGECIRAS,ESP,3000,FALSE
0d0c958d,ALGECIRAS,NA,36.0805456187287,-5.401523379069697,52,ALGECIRAS,ESP,3000,FALSE
0d0c9595,ALGECIRAS,NA,36.079924450793044,-5.411574024524164,44,ALGECIRAS,ESP,3000,FALSE
8e858c17,AMUAY,AMUAY BAY,11.805327759326715,-70.3149634395724,31,AMUAY BAY,VEN,4000,FALSE
8c401b89,AND,NA,14.479710912627453,-61.081079454041486,659,AND,MTQ,0,TRUE
8c4023bb,AND,NA,14.42794975158681,-60.89129822295984,784,AND,MTQ,0,FALSE
8c401c5f,AND,NA,14.5053262349381,-61.08915942772676,385,AND,MTQ,0,TRUE
8c4023a5,AND,NA,14.424290352976012,-60.89214644467603,211,AND,MTQ,0,TRUE
8c0e5f07,ANGUILLA,NA,18.271623222815627,-63.25394216892532,20,ANGUILLA,AIA,2000,TRUE
89e51a1f,ANNAPOLIS,NA,41.4252013966994,-70.91209168441385,230,ANNAPOLIS,USA,0,TRUE
12ce7f7b,ANTIBES,NA,43.559987277490265,7.143569875895446,49,ANTIBES,FRA,1000,TRUE
8c12bfb7,ANTIGUA,NA,17.068185570066163,-61.67230443394,52,ANTIGUA,ATG,0,TRUE
8c128d8b,ANTIGUA,NA,17.126491125280072,-61.88877679949162,691,ANTIGUA,ATG,0,TRUE
8c14a487,ANTIGUA,NA,15.862538281530151,-61.60048941342475,107,ANTIGUA,GLP,0,TRUE
8c12ec51,ANTIGUA,NA,17.00590660548448,-61.83412656617345,23,ANTIGUA,ATG,0,TRUE
